GeneMark.hmm PROKARYOTIC (Version 3.26)
Date: Thu Mar 26 22:57:03 2020
Sequence file name: seq.fna
Model file name: GeneMark_hmm_combined.mod
RBS: true
Model information: GeneMarkS_gcode_11

FASTA definition line: NODE_1_length_104244_cov_13.5403
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
    1        -          <3         248          246        2
    2        +         292         627          336        1
    3        -         826         927          102        1
    4        -         942        1241          300        1
    5        -        1220        2365         1146        1
    6        -        2383        2814          432        1
    7        -        2837        3088          252        2
    8        -        3104        3310          207        1
    9        -        3445        3681          237        1
   10        -        3759        4511          753        1
   11        -        4511        5431          921        1
   12        -        5489        6352          864        1
   13        -        6389        6907          519        1
   14        -        6981        8153         1173        1
   15        -        8177        8851          675        1
   16        -        8848        9318          471        1
   17        -        9315       10229          915        1
   18        +       10671       11414          744        1
   19        -       11416       12321          906        1
   20        +       12404       13072          669        1
   21        -       13045       13824          780        1
   22        +       13908       14504          597        1
   23        -       14467       15837         1371        1
   24        -       15965       17473         1509        1
   25        +       17751       19001         1251        1
   26        -       18998       19216          219        1
   27        -       19373       20074          702        1
   28        +       20194       21192          999        1
   29        +       21194       22087          894        1
   30        +       22084       23055          972        1
   31        +       23052       24053         1002        1
   32        +       24091       25650         1560        1
   33        +       25724       27049         1326        1
   34        +       27088       29091         2004        1
   35        -       29235       30002          768        1
   36        -       30014       30829          816        1
   37        -       30826       31677          852        1
   38        -       31690       32847         1158        1
   39        -       32907       34004         1098        1
   40        +       34080       34853          774        1
   41        +       34909       35055          147        1
   42        -       35102       35545          444        1
   43        -       35559       35675          117        1
   44        +       35699       38140         2442        1
   45        -       38158       38856          699        1
   46        +       39126       40304         1179        1
   47        +       40334       40981          648        1
   48        +       40987       43446         2460        1
   49        +       43577       44809         1233        1
   50        +       44866       45882         1017        1
   51        +       46061       48040         1980        1
   52        -       48336       49214          879        1
   53        +       49375       50304          930        1
   54        +       50641       51258          618        1
   55        -       51373       51657          285        1
   56        +       51938       52408          471        1
   57        -       52427       54361         1935        1
   58        -       54870       55961         1092        1
   59        -       55954       56865          912        1
   60        -       56933       57934         1002        1
   61        +       58791       59468          678        1
   62        +       59492       59806          315        1
   63        +       59779       60498          720        1
   64        +       60500       61840         1341        1
   65        +       61989       62771          783        1
   66        -       62804       63028          225        2
   67        +       63041       64174         1134        1
   68        +       64313       65605         1293        1
   69        +       65602       66324          723        1
   70        -       66523       67080          558        1
   71        +       67481       68752         1272        1
   72        -       68721       69755         1035        1
   73        -       69994       71283         1290        1
   74        +       71661       72212          552        1
   75        -       72375       72521          147        1
   76        -       72518       74314         1797        1
   77        +       74595       75842         1248        1
   78        +       75842       76774          933        1
   79        -       76906       78432         1527        1
   80        -       78539       78823          285        1
   81        +       78952       79845          894        1
   82        -       79901       81556         1656        1
   83        -       81907       82005           99        1
   84        -       82066       83769         1704        1
   85        +       84183       84686          504        1
   86        -       84787       86472         1686        1
   87        +       86735       87127          393        1
   88        +       87468       89117         1650        1
   89        +       89128       89508          381        1
   90        -       89490       90806         1317        1
   91        -       90803       91525          723        1
   92        -       91748       92140          393        1
   93        +       92554       92892          339        1
   94        -       92956       93552          597        1
   95        -       93783       94361          579        1
   96        -       94386       95099          714        1
   97        -       95127       95654          528        1
   98        -       95703       95894          192        1
   99        -       95887       96417          531        1
  100        -       96483       96791          309        1
  101        -       96788       99265         2478        1
  102        -       99262       99807          546        1
  103        +       99853      100449          597        1
  104        -      100419      100931          513        1
  105        -      101069      103270         2202        1
  106        -      103478      103753          276        1
  107        +      103823     >104242          420        1

FASTA definition line: NODE_2_length_101055_cov_17.0651
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
  108        -          <1         138          138        1
  109        -         138         899          762        1
  110        -        1030        1608          579        1
  111        -        1608        1817          210        1
  112        -        1985        2800          816        1
  113        -        3101        3661          561        1
  114        +        3795        6098         2304        1
  115        +        6227        6832          606        1
  116        +       <7088        8263         1176        1
  117        +        8443        9075          633        1
  118        +        9318        9512          195        1
  119        +        9675       10208          534        1
  120        +       10301       10753          453        1
  121        +       10757       11455          699        1
  122        +       11694       12209          516        1
  123        +       12279       12656          378        1
  124        +       12901       17034         4134        1
  125        +       17116       21363         4248        1
  126        +       21450       22481         1032        1
  127        +       22838       23065          228        1
  128        +       23078       23548          471        1
  129        +       23573       25690         2118        1
  130        +       25765       26940         1176        1
  131        +       27013       27321          309        1
  132        +       27335       28057          723        1
  133        +       28047       28667          621        1
  134        +       28664       28960          297        1
  135        +       29083       29922          840        1
  136        +       29926       30204          279        1
  137        +       30208       30588          381        1
  138        +       30588       31304          717        1
  139        +       31319       31732          414        1
